"","firstname","surname","party","Eutanasia.pitäisi.sallia.","Haluaisin.että.alueeni.terveyspalveluiden.tuottaja.on.mieluummin.julkinen.kuin.yksityinen.","Homo..ja.lesbopareilla.pitää.olla.samat.avioliitto..ja.adoptio.oikeudet.kuin.heteropareilla.","Hyvä.veli..verkostot.ohjaavat.kuntien.päätöksentekoa.","Jos.kansalaisen.terveysongelmien.voidaan.katsoa.johtua.omista.elintavoista..hänen.pitäisi.osallistua.hoidon.kustannuksiin.","Jos.tulee.eteen.tilanne..jossa.on.välttämätöntä.joko.leikata.julkisia.palveluita.ja.sosiaalietuuksia.tai.korottaa.veroja..veronkorotukset.ovat.parempi.vaihtoehto.","Jos.valtio.tarjoaa.turvapaikanhakijoiden.vastaanottokeskuksen.perustamista.kotikuntaani..tarjous.pitää.hyväksyä.","Julkisia.palveluita.pitäisi.ulkoistaa.nykyistä.enemmän.kunnilta.yrityksille.","Julkisia.palveluita.tulisi.ulkoistaa.entistä.enemmän.yksityisten.yritysten.tuotettavaksi.","Julkisten.terveyspalvelujen.asiakasmaksut.tulisi.poistaa.kokonaan.","Kaikessa.päätöksenteossa.pitäisi.arvioida.vaikutukset.ympäristöön.ja.tarvittaessa.luopua.ympäristölle.haitallisista.hankkeista.","Kannatan.kotikuntani.liittämistä.isompaan.kuntaan.tai.kuntien.yhdistymistä.kotikuntani.kanssa.","Kasvisruoan.määrää.pitäisi.lisätä.kouluissa.ja.liharuuan.vähentää.","Kerjääminen.kaduilla.pitäisi.kieltää.lailla.","Kirjastojen.kirjoista.pitäisi.maksaa.lainausmaksua.kunnan.taloustilanteen.helpottamiseksi.","Kirjastojen.pitäisi.keskittyä.kirjoihin..eikä.laajentua.enempää.tavaroiden.lainaamiseen.tai.muille.vastaaville.uusille.alueille","Koko.Suomi.on.syytä.pitää.asuttuna..vaikka.se.tietäisikin.veronmaksajille.kustannuksia.","Koko.Suomi.tulisi.pitää.asuttuna..vaikka.se.kävisikin.kalliiksi.veronmaksajille.","Kotikunnassani.pitäisi.olla.maksuton.julkinen.liikenne..vaikka.se.nostaisi.veroäyriä.","Kotikuntani.pitäisi.ottaa.aktiivisesti.vastaan.kotoutettavia.turvapaikanhakijoita.","Kouluissa.kohdellaan.koululaisia.liian.lepsusti..Tiukempi.kuri.tekisi.kouluista.parempia.","Koulujen.liikuntatuntien.pitäisi.olla.tytöille.ja.pojille.yhteiset.","Koululuokat.pitäisi.jakaa.oppilaiden.lahjakkuuden.perusteella.tasoryhmiin.","Koululuokissa.tulisi.olla.ylärajat.maahanmuuttajalasten.osuudelle.","Kulttuuripalveluista..museot..teatterit..orkesterit..voidaan.säästää.leikkaamalla.","Kunnassani.on.tärkeämpää.huolehtia.yksityisautoilun.edellytyksistä.kuin.joukkoliikenteestä.","Kuntalaisten.valitusoikeutta.kaavoituskysymyksissä.tulee.rajoittaa.","Kuntani.nykyinen.kouluverkko.tulee.säilyttää.sellaisenaan..vaikka.se.aiheuttaisi.kustannuksia.kuntalaisille.","Kuntani.pitäisi.luopua.vaatimuksesta.rakentaa.autopaikkoja.uusien.asuntojen.yhteyteen.","Kuntani.pitäisi.rohkeammin.käyttää.maiden.pakkolunastuksia.kaavoituksen.vauhdittamiseksi.","Kuntani.pitäisi.tukea.rahallisesti.lasten.hoitamista.kotona.nykyistä.enemmän.","Kuntani.pitää.auttaa.ihmisiä..vaikka.he.oleskelisivat.Suomessa.laittomasti.","Kuntani.pitää.taata.kokopäiväinen.päivähoitopaikka.kaikille.alle.3.vuotiaille..vaikka.näiden.vanhemmista.toinen.olisikin.kotona.","Kuntien.virkoja.täytettäessä.pitäisi.olla.sukupuolikiintiöt.","Lasten.päivähoidon.hinta.pitäisi.suhteuttaa.nykyistä.vahvemmin.vanhempien.tuloihin.","Maahanmuuttajataustaisten.lasten.osuudella.koululuokassa.pitäisi.olla.yläraja.","Monikulttuurisuus.on.kunnalle.hyvä.asia.","Nykyisen.kaltaiset.palvelut.ja.sosiaalietuudet.ovat.pitemmän.päälle.liian.raskaita.julkiselle.taloudelle.","On.parempi..että.kunta.nostaa.veroäyriä.kuin.että.se.leikkaa.palveluistaan.","Oppilaiden.kännykät.pitäisi.jättää.oppitunnin.ajaksi.luokkahuoneen.ulkopuolelle.","Perinteiset.arvot...kuten.koti..uskonto.ja.isänmaa...muodostavat.hyvän.arvopohjan.politiikalle.","Pyörätiet.ja.jalkakäytävät.pitäisi.puhdistaa.lumesta.ja.hiekoittaa.ennen.autoteitä.","Pääomatuloista.pitäisi.maksaa.veroa.kotikuntaan.siinä.missä.ansiotuloistakin.","Rikkaiden.asuinalueilla.ei.tarvita.yhtä.hyviä.julkisia.palveluita.kuin.vähävaraisilla.","Suomalaisten.auttaminen.pitäisi.olla.etusijalla.ulkomaalaisiin.verrattuna.","Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Talouskasvu.ja.työpaikkojen.luominen.tulisi.asettaa.ympäristöasioiden.edelle..silloin.kun.nämä.kaksi.ovat.keskenään.ristiriidassa.","Tuloerojen.kasvusta.on.haittaa.yhteiskunnalle.","Vanhempien.oikeutta.valita.lastensa.koulu.tulisi.rajoittaa."
"2419","Henri","Kirjavainen","vas",5,3,5,3,2,5,5,2,2,4,5,3,5,1,2,3,1,1,5,5,1,4,3,1,2,1,2,3,5,2,3,5,5,2,3,1,5,1,5,2,1,4,4,3,1,2,1,5,2
"2443","Henrik (Henkka)","Nyholm","vas",5,5,5,5,4,5,5,1,1,5,5,4,5,1,2,1,5,5,4,5,2,2,2,4,1,1,1,5,4,4,2,5,5,2,4,4,5,1,5,2,1,2,4,1,2,1,1,5,4
"2448","Henrik","Halen","sdp",3,5,3,2,2,4,4,2,2,2,2,5,3,3,2,2,4,3,2,4,4,4,1,2,2,2,3,4,4,4,3,3,4,2,2,2,5,2,4,4,3,2,4,2,2,2,2,4,4
"2454","Henrik","Stenbäck","rkp",2,4,5,2,1,2,5,2,2,2,5,2,4,1,1,4,4,4,1,5,2,4,5,2,2,2,2,5,2,2,2,5,4,2,4,3,5,1,2,4,2,2,5,2,1,2,1,4,2
"2471","Heta","Hölttä","vas",4,5,5,5,1,4,5,1,1,4,5,4,5,1,1,2,2,2,2,5,2,4,1,1,1,1,1,5,5,3,1,5,5,4,2,1,5,2,4,2,1,4,4,1,1,1,1,5,4
"2472","Heta","Warto-Tillander","sdp",5,4,5,3,2,4,4,2,2,2,4,4,5,4,1,1,2,2,1,4,1,2,2,4,2,2,2,4,2,3,3,4,4,2,2,4,4,4,4,2,2,4,5,2,4,2,2,4,4
"2474","Heta","Välimäki","sdp",4,2,5,1,1,4,5,2,2,4,4,4,4,2,1,2,1,1,4,5,2,4,2,2,1,1,4,2,2,2,1,4,5,2,2,2,5,2,4,4,1,4,2,1,1,2,2,4,2
"2482","Hilkka","Jankkila","kesk",1,4,3,3,4,3,4,2,2,4,4,4,2,5,1,1,5,5,2,2,4,5,1,2,4,1,2,5,4,2,5,3,2,4,4,2,5,4,3,5,5,2,3,3,3,1,2,4,2
"2514","Iida","Aarnio","kok",5,2,5,4,2,2,4,4,4,2,5,4,5,3,1,1,1,1,1,2,4,4,5,3,2,2,3,2,4,2,2,4,1,1,1,3,5,4,2,3,2,4,3,2,2,4,1,2,1
"2536","Iiris","Karppinen","vas",4,5,5,4,1,4,5,1,1,5,4,4,4,1,1,2,5,5,4,5,2,4,1,1,1,1,3,4,4,2,1,5,4,4,1,1,5,1,4,2,1,4,5,1,1,1,2,5,4
"2551","Ilari","Iivonen","kok",4,2,5,1,4,2,4,4,4,2,4,2,4,5,1,5,2,2,1,4,4,2,2,2,1,2,4,5,2,2,2,2,5,2,1,2,5,4,2,5,3,3,2,2,4,4,2,1,2
"2557","Ilari","Tuominen","pir",4,4,5,4,1,4,5,2,2,2,5,3,4,1,1,1,1,2,5,4,2,4,2,4,2,1,1,5,4,2,2,4,5,2,3,4,4,4,4,4,1,2,3,1,2,2,1,5,4
"2581","Ilkka","Miettinen","kesk",4,3,5,2,2,3,3,3,3,2,4,2,2,2,1,2,4,4,1,4,4,4,2,2,2,2,2,2,4,2,3,2,1,1,2,2,4,4,3,4,4,3,2,2,3,2,2,4,4
"2593","Ilkka","Salonen","vas",2,5,4,4,1,5,4,1,1,5,4,4,2,2,1,4,4,4,4,4,2,4,2,2,2,1,1,5,4,5,2,4,4,4,2,2,4,1,5,4,2,4,5,2,4,2,2,5,2
"2597","Ilkka","Taipale","sdp",5,5,5,2,1,2,4,1,2,4,4,5,2,4,1,1,4,4,5,5,2,2,1,2,1,1,2,2,2,2,2,4,5,1,1,2,5,2,4,2,2,2,4,1,2,1,2,5,2
"2619","Ilona","Tiilikainen","ps",4,2,2,2,2,2,1,2,2,2,5,2,4,5,1,1,5,5,1,2,5,2,4,4,1,3,2,5,1,3,4,1,2,5,5,4,4,5,2,4,5,2,1,1,5,2,2,5,1
"2621","Ilona","Törmikoski","sdp",4,5,5,3,2,4,5,2,2,2,5,4,4,1,1,1,2,2,1,5,2,5,1,1,1,2,2,2,2,2,4,4,4,5,4,1,5,3,4,2,1,4,3,2,3,2,4,5,2
"2622","ilpo","haaja","vas",5,5,4,5,2,5,5,1,1,5,5,4,2,4,1,4,4,4,4,4,2,4,2,1,1,1,2,5,4,4,4,4,5,5,2,1,5,2,5,4,2,5,5,2,1,1,4,5,4
"2663","Irene","Auer","skp",3,5,5,4,1,5,5,1,1,5,5,1,5,1,1,1,2,2,5,5,1,5,1,1,1,1,1,5,4,1,4,5,5,4,2,1,5,1,5,1,1,4,5,2,1,1,1,5,4
"2690","Irma","Marttila","sdp",3,5,5,2,1,5,5,1,1,2,5,2,4,2,1,2,4,4,4,5,2,3,2,3,1,2,2,4,2,1,2,5,5,2,4,3,5,2,5,2,2,4,4,1,1,1,4,3,4
"2742","Jaakko","Hernesniemi","kd",1,4,4,4,3,1,4,2,2,4,5,4,4,4,1,4,5,5,2,4,5,1,5,5,2,1,2,4,1,4,4,4,1,3,4,5,4,4,1,5,5,4,5,2,3,2,1,5,2
"2755","Jaakko","Kurki","kd",2,2,2,5,4,2,5,4,4,5,5,3,2,1,1,2,5,5,1,5,2,2,2,2,1,2,1,5,2,2,3,2,4,2,5,4,4,5,2,2,4,2,2,2,2,5,2,2,2
"2765","Jaakko","Meretniemi","sdp",2,4,5,2,2,2,4,4,4,2,4,4,4,2,1,2,1,1,2,2,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,3,4,2,4,2,2,4,2,3,2,2,4,2
"2794","Jaan","Siitonen","rkp",2,2,5,2,2,1,4,4,2,1,4,5,4,2,1,2,1,1,1,4,4,4,2,1,2,1,4,1,4,4,2,4,5,1,2,1,4,4,2,2,4,2,4,1,2,4,2,2,2
"2795","Jaana","Aaltonen","sdp",5,5,5,2,1,4,5,1,1,5,5,4,2,5,1,2,4,4,1,4,2,5,2,1,1,1,5,5,5,5,1,4,4,4,2,1,5,1,4,2,1,5,5,1,1,1,4,5,4
"2797","Jaana","Alaja","sdp",3,5,5,3,3,5,5,1,2,5,4,5,3,3,1,2,2,2,3,5,1,4,1,1,1,1,2,2,2,2,1,2,2,1,1,2,4,3,5,2,4,4,4,1,4,2,2,4,4
"2842","Jaana","Pelkonen","kok",5,2,5,3,4,2,4,4,4,1,4,5,4,4,1,2,1,1,1,4,4,4,1,2,2,2,4,2,4,2,2,4,2,1,1,2,5,4,2,2,4,2,1,1,2,4,2,2,1
"2866","Jaana","Ylitalo","sdp",4,5,5,2,2,2,5,2,2,5,4,5,4,2,1,4,2,2,4,5,1,2,1,1,1,1,2,5,2,2,2,5,5,2,2,1,5,2,5,2,2,4,5,2,2,1,2,5,4
"2881","Jan D.","Oker-Blom","rkp",5,1,4,1,4,1,5,4,4,1,5,4,2,4,1,2,1,1,1,3,4,4,4,1,4,2,5,2,2,1,1,1,1,4,4,1,5,4,1,4,4,5,2,1,4,4,1,2,4
"2883","Jan","Amnell","rkp",2,4,5,4,3,2,3,2,2,2,5,1,4,2,2,2,2,2,2,2,1,5,2,3,2,2,4,4,4,2,2,2,4,2,2,3,3,2,2,2,2,2,5,1,4,3,2,4,2
"2888","Jan","Huopainen","vihr",4,4,5,4,4,5,4,2,1,4,4,4,2,3,1,4,5,5,2,4,4,4,1,4,2,1,2,4,5,2,4,4,3,2,4,2,5,2,5,5,1,4,4,1,2,2,2,5,2
"2897","Jan","Vapaavuori","kok",3,3,5,2,2,2,5,4,4,2,4,5,4,3,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,4,2,2,4,2,5,2,2,2,2,2,4,2,2,4,2,2,1
"2905","Jani (Wallu)","Valpio","vas",5,4,5,4,1,5,5,1,1,5,5,4,5,1,1,4,2,2,4,5,4,4,1,2,2,1,2,5,4,2,2,5,5,4,2,2,5,4,4,4,2,4,3,1,1,1,1,5,2
"2962","Jani","Räisänen","rkp",5,3,5,4,4,2,5,2,2,1,3,1,3,1,1,4,2,2,5,5,4,5,3,1,1,2,4,5,5,2,3,3,4,2,3,1,5,4,1,4,2,1,4,1,2,5,4,2,3
"2967","Jani","Somero","pir",5,2,5,4,2,1,4,2,2,2,5,4,4,1,1,1,1,1,2,4,2,5,1,1,1,2,2,2,5,1,2,5,5,1,1,1,4,4,1,1,2,4,3,1,3,4,1,4,1
"2983","Janika","Cacho","kd",1,3,1,4,2,4,5,3,3,2,5,3,5,2,1,1,5,5,4,5,4,2,4,1,2,2,1,4,1,2,5,5,2,1,4,1,5,4,2,4,5,1,3,1,2,2,1,5,1
"2990","Janika","Tikkala","kesk",3,4,5,2,2,2,5,3,2,4,5,2,5,2,1,2,5,5,2,5,3,4,1,2,2,1,2,2,5,3,1,4,5,2,4,2,5,2,2,3,4,4,2,2,3,1,1,5,5
"2994","Janina","Paasonen","vas",4,5,5,5,1,5,5,1,1,5,5,3,5,1,1,2,3,3,5,5,2,5,1,1,2,1,1,5,3,1,2,5,5,1,1,1,5,1,5,5,2,5,5,2,1,1,1,5,2
"3041","Janne","Käpylehto","vihr",5,3,5,2,3,2,5,2,2,2,5,4,5,2,1,1,2,2,4,4,2,4,3,2,2,1,2,2,5,2,4,5,5,1,4,1,5,1,4,4,1,2,2,2,2,2,1,4,4
"3112","Jape","Lovén","sdp",5,5,5,2,1,4,4,1,1,5,4,5,4,4,1,2,2,2,4,4,4,2,2,2,2,2,2,3,1,4,3,2,4,2,4,2,4,2,4,2,1,2,5,2,4,1,4,5,3
"3151","Jari","Kilpinen","ps",5,5,5,4,1,5,1,1,1,1,5,1,1,5,1,4,5,5,1,1,4,5,2,5,4,2,4,5,1,2,2,1,1,1,5,5,1,2,5,5,5,2,4,1,5,2,4,5,1
"3152","Jari","Kinnunen","sdp",3,5,5,4,2,5,5,1,1,5,4,1,2,1,1,2,4,4,4,5,2,4,2,2,2,2,2,4,4,4,2,4,5,4,2,2,5,1,5,4,2,2,5,1,2,2,2,5,4
"3173","Jari","Lampinen","vas",5,5,5,4,1,5,5,2,1,5,4,4,4,1,1,1,4,4,1,5,2,4,5,1,1,1,2,4,4,2,2,4,1,2,5,1,5,4,5,4,2,5,5,4,1,1,2,5,1
"3177","Jari","Laukas","ps",4,3,4,4,2,3,2,2,2,2,4,3,3,5,2,4,4,5,2,2,4,3,2,2,2,2,1,4,2,2,4,2,2,1,4,2,5,4,4,4,4,4,4,2,5,4,2,4,2
"3214","Jari","Roine","ps",1,3,1,5,1,4,1,2,2,1,5,5,2,4,4,3,5,4,1,1,5,4,1,5,3,2,1,2,1,1,5,1,2,4,4,5,4,5,2,5,5,2,4,2,5,1,3,5,2
"3245","Jari","Vento","kd",4,2,2,4,3,4,4,4,4,2,4,4,3,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,1,2,2,4,4,4,4,4,2,3,2,4,2,4,4,3,2,2
"3286","Jarkko","Lampuoti","vas",5,4,5,3,2,5,5,1,1,5,5,4,5,2,1,2,1,1,5,4,2,5,2,2,1,1,2,4,5,3,2,4,5,4,2,2,4,1,5,5,1,3,5,1,3,1,1,5,4
"3328","Jarmo","Grönmark","vas",2,4,4,2,2,4,5,2,2,4,4,2,2,3,3,4,5,4,2,4,3,4,3,3,2,2,1,4,2,3,3,3,4,4,4,3,4,2,4,4,4,3,4,2,4,2,2,4,2
"3342","Jarmo","Kelo","kok",5,4,5,4,2,4,5,2,2,4,5,4,4,5,1,2,4,4,1,4,1,4,2,4,2,2,4,4,2,2,4,2,2,4,5,4,5,4,4,4,5,1,4,2,4,4,2,2,2
"3345","Jarmo","Keto","ps",3,2,3,5,4,1,1,4,4,3,3,4,3,5,1,1,1,1,2,1,4,3,4,5,4,2,2,4,5,1,2,1,1,1,2,5,1,5,1,2,5,3,2,4,5,4,4,2,1
"3349","Jarmo","Korhonen","ps",4,4,3,2,1,4,1,1,1,2,4,1,2,4,1,1,4,4,2,1,4,3,3,3,4,2,2,4,2,2,2,1,1,1,4,3,3,4,4,3,4,4,4,2,5,3,3,3,2
"3367","Jarmo","Nieminen","vihr",4,5,5,5,2,4,5,2,2,2,5,5,4,4,1,2,5,4,4,5,4,2,2,2,1,1,1,4,2,2,2,4,2,4,5,1,5,4,4,5,4,2,5,2,2,2,1,4,2
"3433","Jasmin","Hamid","vihr",3,4,5,2,2,2,5,2,2,4,5,5,4,2,1,1,1,1,2,4,3,4,2,2,1,2,2,2,5,1,1,4,5,2,2,2,4,2,2,3,2,2,2,1,2,2,1,4,2
"3442","Jemi","Heinilä","sdp",5,4,5,1,1,4,5,2,2,4,5,4,4,1,1,1,1,1,5,5,1,5,1,1,1,1,1,1,5,4,1,5,5,5,2,1,5,2,4,1,1,4,4,1,1,1,4,5,4
"3483","Jenni","Pajunen","kok",4,2,5,2,2,1,5,4,4,1,5,5,5,1,1,1,1,1,1,5,2,5,4,2,1,2,4,1,5,4,1,5,4,2,2,2,5,5,1,2,2,2,4,1,1,4,2,4,4
"3548","Jesse","Pykäläinen","ps",5,5,5,3,4,4,1,1,1,5,5,3,1,5,1,4,3,3,4,1,5,1,1,2,5,2,2,3,5,3,4,1,1,1,4,3,1,1,5,5,5,2,3,5,5,1,3,5,1
"3552","Jessica","Karhu","vihr",3,4,5,2,2,4,5,2,2,2,5,4,5,1,1,1,1,1,2,5,2,4,4,1,1,1,1,2,5,4,2,5,5,2,2,1,5,4,4,4,2,4,2,1,4,2,1,4,2
"3559","Jirka","Hakala","kesk",3,4,5,3,2,4,5,1,1,4,5,2,4,1,1,1,5,5,3,4,2,4,2,4,3,2,1,4,4,4,2,3,5,1,2,4,5,2,4,5,4,2,1,2,3,2,2,5,4
"3564","Joakim","Horsma","rkp",4,4,5,2,4,4,4,4,4,2,4,4,2,4,1,2,2,2,2,4,2,4,2,2,2,2,4,4,2,2,4,4,2,2,4,2,4,2,4,2,4,4,4,2,2,3,4,2,2
"3573","Joel","Harkimo","kok",4,1,5,2,2,2,4,5,4,2,2,2,4,3,2,4,1,1,1,4,4,2,2,1,4,3,5,4,4,4,2,4,2,1,1,1,4,4,1,2,4,2,1,1,2,4,2,2,1
"3621","Johanna","Krabbe","kok",4,4,4,2,4,1,4,5,5,1,5,4,4,2,2,2,1,1,1,4,2,4,4,4,4,4,2,4,4,2,2,3,2,4,2,4,4,2,1,2,4,2,2,2,4,4,2,2,1
"3625","Johanna","Laisaari","sdp",5,5,5,4,1,5,5,2,2,4,5,2,4,1,1,2,2,2,4,5,1,4,1,2,1,1,1,4,4,4,2,5,5,2,1,2,5,1,5,2,2,2,2,1,1,2,2,4,2
"3636","Johanna","Nuorteva","vihr",2,5,5,4,1,5,5,2,2,4,5,5,5,1,1,1,2,2,4,5,1,4,1,2,2,1,1,5,4,1,2,5,5,4,4,2,5,1,5,4,1,5,5,1,1,1,1,5,1
"3653","Johanna","Sydänmaa","vihr",5,4,5,2,1,5,4,2,2,5,5,4,4,3,1,1,2,2,2,5,2,4,1,1,1,2,2,2,2,2,2,5,5,2,4,1,5,1,5,2,1,2,4,1,2,1,2,5,2
"3672","Johannes","Kananen","kesk",1,4,5,4,1,5,5,1,1,4,5,1,4,1,1,2,4,4,5,5,1,4,1,1,1,1,1,5,4,1,2,5,5,4,4,1,5,1,5,3,1,1,4,2,1,1,1,5,2
"3685","Jona","Granlund","rkp",3,5,5,5,2,5,5,1,1,4,5,1,4,1,1,1,4,4,5,5,4,5,4,4,1,1,1,4,2,1,4,5,5,4,5,4,5,2,5,4,2,2,5,4,1,2,1,5,2
"3691","Joni","Hauhia","sdp",4,4,5,4,2,4,5,2,2,4,4,4,2,4,1,2,2,2,4,5,2,3,4,1,2,2,2,4,5,4,2,5,5,2,2,1,5,2,4,3,1,2,4,1,2,2,2,4,2
"3693","Joni","Immonen","kesk",4,4,4,2,2,4,2,1,1,4,4,2,4,4,1,1,5,5,2,4,4,4,2,3,2,2,1,4,2,2,3,2,4,2,2,3,4,2,4,4,2,1,4,1,4,4,2,4,2
"3718","Jonna","Ijäs","ps",2,4,2,5,5,1,1,1,2,1,4,2,2,4,1,4,5,4,1,1,4,5,4,5,4,1,4,5,1,1,1,1,1,3,5,5,2,5,5,5,4,2,2,4,5,5,4,2,2
"3732","Jonna","Temonen","kok",5,2,5,5,5,1,5,5,5,1,5,5,2,5,4,1,2,2,1,4,2,5,1,1,4,1,5,5,4,5,1,1,2,1,1,1,5,5,1,5,4,1,2,1,1,1,1,5,1
"3738","Jonne","Ruokonen","ps",5,3,4.5,4,4,1,3,4,4,1,3,1,3,5,2,5,5,5,1,2,3,3,2,5,3,3,4,5,1,2,3,1,1,2,3,5,3,4,1,5,5,3,3,1,5,5,3,1,3
"3745","Joona","Haavisto","kok",5,2,5,2,2,2,4,4,4,2,5,5,5,1,1,2,1,1,1,4,2,5,2,2,4,1,2,5,5,4,2,4,5,2,4,2,4,4,2,2,3,2,2,2,2,4,2,2,2
"3766","Joonas","Kolehmainen","vihr",4,2,5,4,2,4,4,2,2,2,5,3,4,2,1,2,3,3,2,4,3,3,2,2,2,1,3,4,4,2,2,2,4,2,4,2,4,2,4,4,2,3,4,2,2,2,1,5,3
"3770","Joonas","Leppänen","vas",4,5,5,4,1,5,5,1,1,5,4,4,5,1,1,1,4,4,5,5,1,4,2,2,1,1,2,4,4,2,2,5,5,2,4,1,5,1,5,3,1,3,4,1,1,1,1,5,4
"3771","Joonas","Lyytinen","vihr",4,4,5,2,2,4,5,2,2,4,5,4,5,2,1,1,2,2,2,5,2,5,1,2,2,2,2,2,5,2,2,4,5,2,4,2,4,2,4,2,2,4,4,2,2,2,2,4,2
"3805","Jorma","Lahikainen","kd",1,5,1,3,5,2,5,2,1,4,5,4,4,4,1,4,5,2,2,4,4,4,2,4,3,1,2,4,1,2,4,4,1,1,4,4,4,3,2,5,5,2,4,3,3,4,2,2,1
"3852","Jouko","Malinen","sdp",3,4,4,4,4,3,4,2,2,4,4,4,4,3,2,2,4,4,4,4,2,3,2,2,2,2,2,2,2,4,2,4,4,2,2,2,4,2,4,4,2,3,4,2,2,4,2,4,2
"3883","Jouni","Konttila","vas",5,5,5,5,2,4,5,1,1,5,4,5,4,5,1,4,4,4,4,4,4,4,4,1,1,2,4,4,4,5,5,4,4,1,4,1,5,1,5,5,1,5,5,2,4,1,2,5,2
"3901","Jouni","Nevalainen","kok",4,1,2,5,2,4,1,4,4,2,5,4,1,5,1,2,2,2,1,2,4,5,1,1,1,1,1,4,2,1,2,2,4,4,4,1,2,2,4,2,4,1,4,4,4,1,2,5,1
"3926","JP","Roos","vas",5,5,5,4,2,4,4,1,1,5,4,2,4,3,1,2,4,4,4,4,2,2,2,3,1,1,2,5,4,2,2,4,3,4,2,3,4,2,4,4,2,4,5,4,2,1,2,5,4
"3927","Juha (Jussi)","Hätinen","sdp",5,5,5,4,3,4,5,1,1,4,5,4,4,1,1,1,1,1,5,4,2,4,1,2,1,1,2,5,2,4,4,4,2,2,4,1,5,1,4,1,2,4,5,2,1,2,2,5,1
"3943","Juha","Hakola","kok",4,4,4,1,4,1,4,4,4,1,4,5,2,4,1,4,2,2,1,4,1,5,2,2,1,1,4,4,2,1,4,2,2,1,2,2,5,4,2,2,5,2,1,1,4,2,4,2,2
"3952","Juha","Hytti","ps",5,4,4,4,4,4,1,1,1,4,5,2,2,5,1,2,5,5,2,1,5,4,4,5,4,1,1,2,2,2,4,1,4,1,4,5,5,1,4,5,4,2,4,1,5,4,1,4,1
"3967","Juha","Juvonen","vihr",5,4,5,2,2,4,5,1,2,5,5,5,2,4,1,1,2,2,4,4,2,4,1,1,1,1,4,1,4,2,2,4,4,2,2,1,5,2,4,1,3,2,5,2,2,3,2,4,4
"3980","Juha","Keskinen","kok",5,4,5,2,1,1,5,5,5,1,5,5,2,3,1,1,1,1,1,5,2,5,2,1,1,1,2,1,5,4,1,2,5,1,1,1,5,5,1,1,3,3,3,1,2,4,2,2,1
"3992","Juha","Kuurne","sdp",5,5,5,2,2,4,5,5,1,4,5,4,5,2,1,2,4,4,5,5,2,4,2,3,1,1,2,5,2,2,4,4,2,2,4,3,5,1,4,2,1,1,4,2,2,2,2,4,4
"4004","Juha","Leoni","sdp",3,3,5,2,2,4,5,2,2,4,4,4,4,2,1,2,1,1,3,4,2,2,2,2,1,2,2,4,2,4,3,2,5,2,2,2,5,2,2,2,1,4,5,2,2,2,2,5,4
"4005","Juha","Levo","kok",3,2,3,4,2,1,5,5,5,1,4,4,2,4,1,2,4,4,1,5,1,2,2,1,4,2,2,2,1,1,2,2,2,4,2,1,4,4,1,4,4,1,1,2,2,4,4,2,2
"4059","Juha","Riekkinen","kesk",5,2,5,2,4,4,5,4,4,1,4,2,2,1,1,2,5,5,2,4,4,2,2,4,2,4,4,5,4,4,4,4,2,1,2,4,5,2,4,4,4,2,5,4,4,4,4,4,4
"4071","Juha","Sarlund","kesk",5,4,4,2,2,2,5,2,2,1,4,2,2,2,2,4,5,5,1,4,2,2,4,2,4,4,2,4,1,2,4,3,2,4,2,2,4,4,2,4,4,1,3,2,2,4,2,2,2
"4095","Juha","Tähtinen","pir",5,4,5,5,1,4,5,4,4,5,5,1,5,1,1,1,2,2,5,5,4,4,2,1,2,2,2,4,4,1,4,4,4,1,2,1,5,2,4,2,2,2,4,1,1,2,1,5,1
"4118","Juhana","Harju","sdp",4,4,5,1,1,4,5,4,4,5,5,5,4,1,1,1,2,2,2,5,1,5,1,1,1,1,5,2,5,5,1,5,5,2,1,1,5,2,4,1,1,5,4,1,1,4,2,4,2
"4129","Juhana","Vartiainen","kok",4,2,4.5,3,2,2,4,4,4,2,4,4,4,2,2,3,1,1,2,4,2,4,2,2,2,2,4,2,5,4,1,4,4,2,2,2,4,2,2,3,2,4,4,2,2,4,2,4,2
"4135","Juhani","Kahelin","kd",4,4,5,4,2,5,5,1,2,4,5,1,5,1,1,4,3,3,2,5,2,5,1,1,4,1,2,2,4,2,2,5,5,2,4,1,5,2,5,5,1,3,3,4,2,1,1,5,4
"4166","Juhani","Strandén","ps",4,4,2,4,4,2,1,2,2,4,2,4,1,5,4,4,4,4,2,1,5,2,4,5,5,4,4,4,2,2,4,1,2,1,5,5,1,4,2,5,5,1,4,4,5,2,4,2,1
"4187","Juha-Pekka","Väisänen","skp",5,5,5,5,1,5,5,1,1,5,5,1,5,1,1,5,5,5,5,5,1,5,1,1,5,1,1,5,5,5,5,5,5,5,5,1,5,1,5,1,1,5,5,1,1,1,1,5,1
"4193","Juho","Heikkilä","vihr",5,2,5,2,2,2,4,4,4,4,4,5,5,2,1,2,1,1,2,5,2,5,2,2,4,2,2,1,5,2,2,4,5,1,4,2,4,4,2,2,2,2,4,2,4,4,2,4,2
